year,week_of_year,wind_speed,wind_dir,wave_height,turbine_access_days,remark
2023,1,7.2,305,1.3,5,Winter
2023,2,7.5,269,1.6,4,Winter
2023,3,5.9,334,1.6,4,Winter
2023,4,7.8,311,1.8,2,Winter
2023,5,6.6,318,1.3,5,Winter
2023,6,5.2,28,0.9,6,Winter
2023,7,7,29,1.6,4,Winter
2023,8,6.2,359,1.3,4,Winter
2023,9,7.1,265,1.2,5,Spring
2023,10,9.4,233,1.3,5,Spring
2023,11,9,189,1.1,7,Spring
2023,12,8,141,0.9,7,Spring
2023,13,7.6,88,0.9,6,Spring
2023,14,8.5,267,1.5,3,Spring
2023,15,7.6,238,1.2,5,Spring
2023,16,6.3,312,1.3,4,Spring
2023,17,7.1,196,1.2,5,Spring
2023,18,7.7,192,1.5,4,Spring
2023,19,5.1,102,1.1,6,Spring
2023,20,7.4,219,1,6,Spring
2023,21,4.7,180,0.7,7,Spring
2023,22,5.2,26,0.8,7,Summer
2023,23,6,214,0.8,7,Summer
2023,24,4.8,247,0.6,7,Summer
2023,25,5.1,64,1,6,Summer
2023,26,8.1,227,1.2,5,Summer
2023,27,4.9,189,0.9,6,Summer
2023,28,8.7,213,1.3,5,Summer
2023,29,4.4,147,0.7,7,Summer
2023,30,4.4,196,0.5,7,Summer
2023,31,4.2,143,0.7,7,Summer
2023,32,8.5,37,1.9,4,Summer
2023,33,6,43,1.5,4,Summer
2023,34,5,182,0.6,7,Summer
2023,35,5,89,0.9,6,Summer
2023,36,8,22,1.8,3,Fall
2023,37,4.5,58,0.8,6,Fall
2023,38,7.7,344,1.6,3,Fall
2023,39,4.7,328,0.8,6,Fall
2023,40,5.6,14,1.4,4,Fall
2023,41,6.4,17,1.2,5,Fall
2023,42,6.9,289,1.2,5,Fall
2023,43,5.2,312,0.9,6,Fall
2023,44,6.3,235,1,5,Fall
2023,45,7.9,318,1.8,3,Fall
2023,46,7.4,295,1.5,4,Fall
2023,47,7.3,293,1.5,4,Fall
2023,48,7.4,294,1.3,4,Fall
2023,49,7.4,269,1.1,5,Winter
2023,50,8.9,354,2.5,1,Winter
2023,51,7.2,321,1.7,3,Winter
2023,52,5.6,293,0.9,7,Winter
2024,1,7.6,302,1.5,6,Winter
2024,2,7,295,1.5,3,Winter
2024,3,8.9,354,2.3,2,Winter
2024,4,7.6,318,2.7,0,Winter
2024,5,5.7,24,1.3,4,Winter
2024,6,7.1,356,1.5,5,Winter
2024,7,7.1,189,1.4,5,Winter
2024,8,11.1,14,2.7,0,Winter
2024,9,8.4,340,1.8,2,Winter
2024,10,7.6,10,1.8,3,Spring
2024,11,6.8,262,1.1,6,Spring
2024,12,7.7,32,1.8,3,Spring
2024,13,8.3,54,1.8,3,Spring
2024,14,5.6,53,1,6,Spring
2024,15,4.3,113,0.9,5,Spring
2024,16,6.1,232,1,6,Spring
2024,17,6.7,153,1.2,4,Spring
2024,18,6.5,81,1.2,5,Spring
2024,19,8.6,219,1.7,2,Spring
2024,20,6.8,226,1.3,5,Spring
2024,21,5.8,71,0.9,7,Spring
2024,22,5.6,252,0.9,6,Spring
2024,23,4.4,99,0.7,7,Summer
2024,24,5.4,193,0.6,7,Summer
2024,25,6.2,205,0.8,6,Summer
2024,26,6.3,209,1.1,5,Summer
2024,27,9.2,212,1.3,4,Summer
2024,28,10.8,211,1.8,2,Summer
2024,29,8,208,1.4,4,Summer
2024,30,4.7,201,0.8,7,Summer
2024,31,6.2,232,0.7,7,Summer
2024,32,3.9,37,0.6,7,Summer
2024,33,5.7,30,1,7,Summer
2024,34,6,186,0.9,6,Summer
2024,35,7.8,31,1.7,3,Summer
2024,36,5.2,16,0.9,6,Fall
2024,37,4.5,37,0.7,7,Fall
2024,38,6.1,45,1.6,4,Fall
2024,39,7.7,39,1.6,4,Fall
2024,40,8.3,28,1.8,4,Fall
2024,41,5.8,41,1.1,6,Fall
2024,42,8.5,50,1.8,4,Fall
2024,43,6.6,28,1.4,5,Fall
2024,44,7.5,33,1.6,4,Fall
2024,45,6.4,46,1.5,4,Fall
2024,46,5.9,39,1,5,Fall
2024,47,7.2,15,1.8,3,Fall
2024,48,8.7,273,1.6,3,Fall
2024,49,8,301,1.4,4,Winter
2024,50,6.8,323,1.5,4,Winter
2024,51,8,311,1.7,4,Winter
2024,52,7.5,300,1.6,3,Winter
2025,1,7.2,305,1.2,6,Winter
2025,2,8.3,300,1.8,1,Winter
2025,3,6.5,287,1.2,5,Winter
2025,4,6.1,14,1.1,5,Winter
2025,5,7.1,305,1.6,3,Winter
2025,6,9.1,308,2.1,1,Winter
2025,7,5.8,281,1.1,6,Winter
2025,8,9.4,324,1.6,4,Winter
2025,9,9.1,285,1,6,Winter
2025,10,8.5,242,2.4,2,Spring
2025,11,7.9,199,1.3,5,Spring
2025,12,7.3,156,2.2,2,Spring
2025,13,6.6,113,1.5,4,Spring
2025,14,6.4,78,1,6,Spring
2025,15,7,180,1.1,5,Spring
2025,16,8.5,244,1.5,3,Spring
2025,17,7.2,250,1.2,5,Spring
2025,18,6.9,228,1.2,6,Spring
2025,19,7,193,1.2,5,Spring
2025,20,7.4,222,1,6,Spring
2025,21,8.3,9,1.4,4,Spring
2025,22,4.6,90,0.7,7,Spring
2025,23,6.2,225,0.9,7,Summer
2025,24,4.3,208,0.6,7,Summer
2025,25,7.7,217,1,6,Summer
2025,26,5.8,229,0.6,7,Summer
2025,27,7.7,228,0.7,6,Summer
2025,28,6.5,29,1,6,Summer
2025,29,6.4,199,0.9,6,Summer
2025,30,3.6,145,0.4,7,Summer
2025,31,2.9,119,0.4,7,Summer
2025,32,6.9,225,1.2,5,Summer
2025,33,5.7,223,0.7,7,Summer
2025,34,6.3,227,0.5,7,Summer
2025,35,6.2,233,0.7,6,Summer
2025,36,7,295,0.9,6,Fall
2025,37,7.1,19,1.3,4,Fall
2025,38,7.6,355,1.3,4,Fall
2025,39,6.7,65,1.1,6,Fall
2025,40,4.9,25,0.8,7,Fall
2025,41,6.9,64,1.6,3,Fall
2025,42,8,46,2,1,Fall
2025,43,8.7,59,2.2,2,Fall
2025,44,6.2,355,1,6,Fall
2025,45,6.2,62,1.4,5,Fall
2025,46,5.1,355,1,7,Fall
2025,47,6.4,296,1.2,5,Fall
2025,48,7.5,273,1.3,4,Fall
2025,49,8.1,295,1.3,4,Winter
2025,50,7.5,332,1.4,4,Winter
2025,51,7.1,276,1.5,4,Winter
2025,52,8.2,329,1.8,3,Winter
